,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin
333,333,6,raxml,40,0.75,2,EXT,REF,5.75448586937164e-05,0.0771979620935301,0.00663331786474868,0.0104805888983835,NA,NA,0.999307641918773,2.70403734850899,0.299275547370692,0.401636651713959,0.656209686436656,0.995606347910659
334,334,6,raxml,40,0.75,3,EXT,REF,7.44040936598062e-05,0.106965438678396,0.00906991588329171,0.0134547053866951,NA,NA,0.0620284819049277,4.03984805615679,0.299275547370692,0.401636651713959,0.656209686436656,0.995606347910659
335,335,6,raxml,40,0.75,4,EXT,REF,9.247593157899e-05,0.04107998555692,0.0100539309691254,0.01520162543522,NA,NA,0.261234942587559,4.61890048612567,0.299275547370692,0.401636651713959,0.656209686436656,0.995606347910659
336,336,6,raxml,40,0.75,5,EXT,REF,0.000124246961339124,0.0579048293016768,0.0128905123378955,0.0186285894298834,NA,NA,0.491654227363038,4.82801487425745,0.318495077935783,0.421435641587182,0.669937922554577,1.00974848353439
337,337,6,raxml,40,0.9,0,EXT,REF,0.000161627662442358,0.0651604663115055,0.00607118322267977,0.00952311447643764,NA,NA,1.53662029484756,2.96140898040404,0.299275547370692,0.410121933088198,0.656209686436656,1.0040916292849
338,338,6,raxml,40,0.9,10,EXT,REF,0.00232376573107993,0.291262900726122,0.0243213602151309,0.0335972597290828,NA,NA,0.805076048507256,5.79965902392382,0.321240725159367,0.429920922961421,0.683666158672499,1.01823376490863
339,339,6,raxml,40,0.9,1,EXT,REF,0.000161627662442358,0.0651604663115055,0.00607118322267977,0.00952311447643764,NA,NA,1.53662029484756,2.96140898040404,0.299275547370692,0.410121933088198,0.656209686436656,1.0040916292849
340,340,6,raxml,40,0.9,2,EXT,REF,0.000161627662442358,0.0651604663115055,0.00607118322267977,0.00952311447643764,NA,NA,1.53662029484756,2.96140898040404,0.299275547370692,0.410121933088198,0.656209686436656,1.0040916292849
341,341,6,raxml,40,0.9,3,EXT,REF,0.000214900245054043,0.0761788171076389,0.00823148137084549,0.0125387176882707,NA,NA,1.06419424810835,3.79074080911276,0.299275547370692,0.410121933088198,0.656209686436656,1.0040916292849
342,342,6,raxml,40,0.9,4,EXT,REF,0.000230327134348334,0.13867448811053,0.0092055660866326,0.0142129556428883,NA,NA,0.793323090396911,3.76838277266418,0.299275547370692,0.410121933088198,0.656209686436656,1.0040916292849
343,343,6,raxml,40,0.9,5,EXT,REF,0.000440499655459486,0.0462005338853198,0.0117807959708374,0.0175566160086799,NA,NA,1.64030927340392,4.74737071478838,0.318495077935783,0.429920922961421,0.669937922554577,1.01823376490863
344,344,6,raxml,40,0,0,EXT,REF,1.96063433706321,1.00000050002909e-06,0.0364495303933007,0.197453149348162,NA,NA,4.3977183098907,5.07468160844037,0.214160483439578,1.24450793488832,0.422829672431987,1.71968369184568
345,345,6,raxml,40,0,10,EXT,REF,1.00000050002909e-06,0.40612631920835,0.0290242510243039,0.0428925534521533,NA,NA,-1.66006743830059,6.23643508854196,0.32947766683012,0.441234631460406,0.686411805896083,1.03520432765711
346,346,6,raxml,40,0,1,EXT,REF,1.96063433706321,1.00000050002909e-06,0.0364495303933007,0.197453149348162,NA,NA,4.3977183098907,5.07468160844037,0.214160483439578,1.24450793488832,0.422829672431987,1.71968369184568
347,347,6,raxml,40,0,2,EXT,REF,1.96063433706321,1.00000050002909e-06,0.0364495303933007,0.197453149348162,NA,NA,4.3977183098907,5.07468160844037,0.214160483439578,1.24450793488832,0.422829672431987,1.71968369184568
348,348,6,raxml,40,0,3,EXT,REF,1.00000050002909e-06,0.0355790111405794,0.0105956315003701,0.0150965971345985,NA,NA,1.58525192882895,4.88922755469772,0.302021194594277,0.469518902707868,0.653464039213071,1.06348859890457
349,349,6,raxml,40,0,4,EXT,REF,1.81949422588804e-06,0.0539446961681481,0.0118536822959738,0.0173558736632273,NA,NA,0.573949922795131,5.08195462259518,0.299275547370692,0.410121933088198,0.656209686436656,1.0040916292849
350,350,6,raxml,40,0,5,EXT,REF,1.00000050002909e-06,0.283050830815783,0.0172469390308868,0.0245060913777828,NA,NA,0.214569538094259,5.36632643412413,0.318495077935783,0.429920922961421,0.669937922554577,1.01823376490863
351,351,6,raxml,40,0.25,0,INT,REF,0.000320578633921183,0.0531689273793215,0.0076648401347883,0.0114759209358236,NA,NA,-6.11349073591064,4.40392258764149,0.321240725159367,0.480832611206852,0.672683569778162,1.07480230740355
352,352,6,raxml,40,0.25,10,INT,REF,0.00666889783568514,0.0730289523839033,0.0296922901996003,0.0428497921711102,NA,NA,-1.22214877066058,6.25868387530331,0.340460255724457,0.500631601080076,0.691903100343252,1.09460129727678
353,353,6,raxml,40,0.25,1,INT,REF,0.000320578633921183,0.0531689273793215,0.0076648401347883,0.0114759209358236,NA,NA,-6.11349073591064,4.40392258764149,0.321240725159367,0.480832611206852,0.672683569778162,1.07480230740355
354,354,6,raxml,40,0.25,2,INT,REF,0.000320578633921183,0.0531689273793215,0.0076648401347883,0.0114759209358236,NA,NA,-6.11349073591064,4.40392258764149,0.321240725159367,0.480832611206852,0.672683569778162,1.07480230740355
