,tree.num,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,avg_dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.gamma,std.ingroup.colless,std.ingroup.sackin,ml.tree
1402,1437,17,LONG,astral,40,0.5,1,INT,REF,49_0_0,0.0408423,0.967708333333333,0.0992790947404451,0.285547311252771,0.353553390593274,0.653464039213071,0.936209378290989,0.0383343923416499,0.0058703481392557,0.0327253654218015,0,-0.161993186191476,-0.381644964078222,0,0,0.0311126983722081,0.014142135623731,43
1403,1438,19,LONG,astral,40,0.9,0,INT,REF,44_0_0,0.0382692,0.947083333333333,0.129400554659164,0.450286144667831,0.53457272657703,0.845659344863975,1.11157186002525,0.14983706713943,0.0859903961584634,0.103857435040421,0,-0.238871308451837,-0.365171080736716,0,0,-0.0367695526217005,0.00848528137423865,45
1404,1439,18,LONG,astral,40,0.9,0,INT,REF,16_0_0,0.0454596,0.972916666666667,0.100041657989726,0.285547311252771,0.282842712474619,0.719359572579095,0.905096679918781,0.0267491945798754,0.00114045618247299,0.0285382799768744,0,-0.131791066732048,-0.302021194594277,0,0,-0.00848528137423854,-0.00282842712474618,44
1405,1440,20,LONG,astral,40,0.9,0,INT,REF,11_0_0,0.0338615,0.958125,0.117883033446158,0.252599544569759,0.418607214462436,0.620516272530059,1.00126320216015,0.069518774658542,0.00472989195678271,0.0467574698553454,0,-0.269073427911265,-0.483233911350843,0,0,0.0197989898732233,0.00848528137423865,46
1406,1441,19,LONG,astral,40,0.9,0,EXT,REF,0_0_0,0.386977,0.937291666666667,0.128307137880968,0.214160483439578,0.639224530192639,0.477742616903674,1.15965512114594,0.0935137763464657,0.021296518607443,0.0670274718920601,0,-0.47499696968009,-0.733087808697017,0,0,0.0678822509939085,0.0565685424949238,45
1407,1442,19,LONG,astral,40,0.25,1,INT,REF,44_0_0,0.0382692,0.95,0.111736772742812,0.527164266928192,0.639224530192639,0.917046172677167,1.15965512114594,0.10997155011787,0.0221008403361345,0.0759995749357864,0,-0.161993186191476,-0.293784252923524,0,0,0.0678822509939085,0.0565685424949238,45
1408,1443,19,LONG,astral,40,0,1,INT,REF,44_0_0,0.0382692,0.953125,0.10599390287563,0.527164266928192,0.639224530192639,0.917046172677167,1.15965512114594,0.10997155011787,0.0221008403361345,0.0759995749357864,0,-0.161993186191476,-0.293784252923524,0,0,0.0678822509939085,0.0565685424949238,45
1409,1444,18,LONG,astral,40,0,1,INT,REF,16_0_0,0.0454596,0.974375,0.0860951045140001,0.293784252923524,0.291327993848858,0.727596514249848,0.907925107043527,0.0157917160593625,0.000576230492196879,0.0171710117060117,0,-0.123554125061295,-0.293784252923524,0,0,0,0,44
1410,1445,19,LONG,astral,40,0.5,1,INT,REF,44_0_0,0.0382692,0.951041666666667,0.116331141132386,0.527164266928192,0.639224530192639,0.917046172677167,1.15965512114594,0.10997155011787,0.0221008403361345,0.0759995749357864,0,-0.161993186191476,-0.293784252923524,0,0,0.0678822509939085,0.0565685424949238,45
1411,1446,18,LONG,astral,40,0.9,0,EXT,REF,0_0_0,0.478858,0.968333333333333,0.0950997982711092,0.285547311252771,0.282842712474619,0.713868278131927,0.905096679918781,0.0188297218054754,0.00085234093637455,0.0199352628364331,0,-0.131791066732048,-0.307512489041445,0,0,-0.00848528137423854,-0.00282842712474618,44
