,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,std.gamma,std.ingroup.gamma,colless,std.colless,std.ingroup.colless,sackin,std.sackin,std.ingroup.sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf
1484,10,MED,raxml,40,0.75,0.02,INT,REF,25_0_0,NA,21709,0.442851023030946,-12.8051900164134,33.6641255880922,-913.006586587151,0.470918591010272,-194,2,870,-192,4,0.149480188946446,0.0743808699067901,0.0500238586949747,78,-11.8384112940449,0.379,867,83.0408163265306,24.6254073669155,1169529.95501361
1485,10,MED,raxml,40,0.75,0.03,INT,REF,25_0_0,NA,18561,0.378633646804431,-12.6866004866324,37.2366733003913,-372.190281778289,0.374370427999798,-192,4,872,-190,6,0.169918937015059,0.083159895122334,0.0556092014435406,80,-11.7800797436484,0.381,869,80.5,25.6242676536034,1169528.4693442
1486,10,MED,raxml,40,0.75,0.04,INT,REF,25_0_0,NA,16728,0.341241508741152,-12.6517087777059,30.2052883698582,-450.489499482735,0.447274142926074,-186,-10,902,-226,-2,0.186633381514138,0.0898369015076261,0.0597101918692236,92,-11.8630863044232,0.371,817,80.5918367346939,25.7697323993058,1169527.42482407
1487,10,MED,raxml,40,0.75,0.05,INT,REF,25_0_0,NA,15393,0.314008282164787,-12.5768777198583,50.3616517744351,-248.750072421645,0.450229698936599,-183,-7,903,-225,-1,0.19752310697859,0.0956074033133652,0.0633488408079952,90,-11.8154841538279,0.374,818,78.2142857142857,28.1550383691269,1169526.38702739
1488,10,MED,raxml,40,0.75,0.1,INT,REF,25_0_0,NA,11526,0.235123722486281,-12.2537891579483,-324.414630376481,-76.12378375556,0.477814888368163,-187,9,969,-191,5,0.238956812324938,0.116639489635631,0.0757436304833093,88,-11.4515404386725,0.386,868,76.3163265306122,29.2121980378327,1169523.04741339
1489,10,MED,raxml,40,NA,0.01,INT,REF,25_0_0,NA,29632,0.604475632892026,-12.9571730155585,1.31928518017233,666.481090912195,0.440377845568183,-193,-18,895,-233,-8,0.129534504033805,0.0610768269320941,0.0411600150694685,86,-12.1748973070039,0.364,810,88.5612244897959,15.8453000131202,1169532.28733706
1490,10,MED,raxml,40,NA,0.02,INT,REF,25_0_0,NA,21791,0.444523775524775,-12.8689180512444,27.8769947161056,-1170.04805058418,0.360577833284016,-206,-10,960,-200,-4,0.150656776380329,0.0745935101873336,0.0501972562884057,76,-11.9215191606926,0.367,859,84.0816326530612,21.8555112157744,1169529.84051445
1491,10,MED,raxml,40,NA,0.03,INT,REF,25_0_0,NA,18640,0.380245201036291,-12.7916540155256,30.1595527757045,-796.203884692079,0.450229698936599,-183,-9,825,-221,-3,0.17010818382464,0.0831797518795685,0.0556041952044352,90,-11.9462704989786,0.374,822,76.2551020408163,31.2110577895078,1169528.59831401
1492,10,MED,raxml,40,NA,0.04,INT,REF,25_0_0,NA,16803,0.342771465290386,-12.6766764613415,28.6754291226497,-541.838601012904,0.447274142926074,-186,-12,906,-222,-4,0.186918167990559,0.0897496243962741,0.0596355644719802,86,-11.8797282369555,0.371,821,80.6530612244898,27.8730931263325,1169527.3367924
1493,10,MED,raxml,40,NA,0.05,INT,REF,25_0_0,NA,15466,0.315497439872708,-12.634723596401,48.4797929932291,-251.9404276914,0.355651906599808,-211,-15,959,-201,-5,0.198158184081516,0.0956121921750687,0.063096970215847,80,-11.8173832003893,0.362,858,79.7857142857143,27.6499659774963,1169526.31075169
1494,10,MED,raxml,40,NA,0.1,INT,REF,25_0_0,NA,11593,0.236490483670264,-12.3738649510618,-344.598000388267,-80.0040847341499,0.47584451769448,-189,7,971,-189,7,0.238837155845095,0.116651296600643,0.0757326039845397,86,-11.422565148321,0.384,870,78.6836734693878,26.1110226512153,1169522.97609765
1495,10,MED,raxml,40,1,0.01,INT,REF,25_0_0,NA,28979,0.591154811203362,-12.9714313995599,3.65441353828193,1045.71545389155,0.451214884273441,-214,-18,956,-204,-8,0.127455934093926,0.0611496477933151,0.041209296967776,80,-12.1863515122342,0.359,855,88.2857142857143,16.1915085292757,1169532.30136188
