,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
219,219,10,Cichlids,astral,40,0.9,2,INT,REF,0.224374,0.9575,0.125350572226244,0.337714608500873,0.565685424949238,0.650718391989487,1.14268455839746
220,220,1,Cichlids,astral,40,0.75,0,INT,REF,0.217217,0.972083333333333,0.111583540564111,0.389881905748975,0.562856997824492,0.724850867026264,1.11157186002525
221,221,3,Cichlids,astral,40,0.75,0,INT,REF,0.229259,0.969375,0.0961471888039043,0.436557908549909,0.760846896556725,0.733087808697017,1.29259119600901
222,222,3,Cichlids,astral,40,0.9,2,INT,REF,0.229259,0.921458333333333,0.134733615564641,0.554620739164035,0.746704760932994,0.90606358378283,1.31239018588223
223,223,8,Cichlids,astral,40,0.9,0,INT,REF,0.234123,0.94375,0.136827659888775,0.477742616903674,0.616597113194669,0.867624522652649,1.16531197539543
224,224,9,Cichlids,astral,40,0.9,2,INT,REF,0.220617,0.961875,0.100987807353376,0.359679786289548,0.528915872327538,0.705631336461174,1.10591500577576
225,225,7,Cichlids,astral,40,0.75,0,INT,REF,0.211928,0.988333333333333,0.0466919890770529,0.444794850220662,0.466690475583121,0.873115817099818,1.03803275478185
226,226,4,Cichlids,astral,40,0.75,0,INT,REF,0.232505,0.971875,0.0868026926241837,0.436557908549909,0.562856997824492,0.777018164274366,1.12288556852424
227,227,5,Cichlids,astral,40,0.75,0,INT,REF,0.229767,0.909166666666667,0.21560240528139,0.647972744765902,0.786302740679441,1.03785465051488,1.30673333163274
228,228,1,Cichlids,astral,40,0.9,0,INT,REF,0.217217,0.9525,0.156742097428811,0.420084025208403,0.455376767084137,0.777018164274366,1.03237590053236
229,229,3,Cichlids,astral,40,0.9,0,INT,REF,0.229259,0.916666666666667,0.140490528693155,0.51343603081027,0.721248916810278,0.859387580981896,1.29259119600901
230,230,2,Cichlids,astral,40,0.75,0,INT,REF,0.209569,0.982708333333333,0.0646344741467504,0.57658591695271,0.627910821693654,0.900572289335661,1.19359624664289
231,231,7,Cichlids,astral,40,0.25,4,EXT,REF,0.264638,0.839791666666667,0.23658464890878,0.546383797493282,0.633567675943147,0.947248292136595,1.14834141264695
232,232,7,Cichlids,astral,40,0,4,EXT,REF,0.264638,0.88625,0.179071185179811,0.395373200196144,0.537401153701776,0.74132475036777,1.09177287015203
233,233,7,Cichlids,astral,40,0.5,4,EXT,REF,0.264638,0.859375,0.204121430797058,0.606788036412138,0.80893015767741,0.974704764372438,1.28976276888426
234,234,7,Cichlids,astral,40,0.75,4,EXT,REF,0.264638,0.830208333333333,0.206588187169582,0.485979558574427,0.74953318805774,0.809965930957378,1.26996377901104
235,235,7,Cichlids,astral,40,0.9,4,EXT,REF,0.264638,0.741041666666667,0.220851732138674,0.768781222603613,1.01540533778388,1.16964571724693,1.48492424049175
236,236,5,Cichlids,astral,40,0.9,0,INT,REF,0.229767,0.87625,0.184801503632089,0.302021194594277,0.639224530192639,0.598551094741385,1.19925310089238
237,237,1,Cichlids,astral,40,0,0,INT,REF,0.217217,0.9875,0.062279397911792,0.507944736363102,1.02389061915812,0.859387580981896,1.49906637611548
238,238,10,Cichlids,astral,40,0.75,0,INT,REF,0.224374,0.987916666666667,0.0610182509611232,0.560112033611204,0.661851947190608,0.955485233807348,1.21622366364086
239,239,8,Cichlids,astral,40,0,0,INT,REF,0.234123,0.994166666666667,0.0375206798770987,0.562857680834788,0.687307791313324,0.92528311434792,1.23036579926459
240,240,4,Cichlids,astral,40,0,0,INT,REF,0.232505,0.993125,0.0476313972081441,0.263582133464096,1.09460129727678,0.472251322456505,1.56412019998464
241,241,7,Cichlids,astral,40,0,0,INT,REF,0.211928,0.990208333333333,0.0499143770417001,0.502453441915933,0.642052957317385,0.92528311434792,1.19076781951815
242,242,6,Cichlids,astral,40,0,0,INT,REF,0.241146,0.984166666666667,0.0639092885512002,0.49421650024518,0.667508801440101,0.862133228205481,1.21622366364086
243,243,7,Cichlids,astral,40,0.9,0,INT,REF,0.211928,0.974166666666667,0.0950662329772368,0.378899316854638,0.51194530957906,0.724850867026264,1.10025815152627
244,244,5,Cichlids,astral,40,0,0,INT,REF,0.229767,0.973125,0.0998329722107157,0.694648747566836,0.854184991673349,1.06805676997431,1.37461558262665
245,245,2,Cichlids,astral,40,0.9,0,INT,REF,0.209569,0.9,0.171712277903995,0.321240725159367,0.574170706323477,0.67817486422533,1.16814040252018
246,246,6,Cichlids,astral,40,0.75,0,INT,REF,0.241146,0.967708333333333,0.109898204026394,0.367916727960301,0.619425540319416,0.691903100343252,1.19076781951815
247,247,9,Cichlids,astral,40,0.75,0,INT,REF,0.220617,0.983333333333333,0.0653088679043693,0.403610141866897,0.562856997824492,0.76054428093286,1.12854242277373
248,248,2,Cichlids,astral,40,0,0,INT,REF,0.209569,0.974583333333333,0.0852520252042052,0.656209686436656,0.806101730552664,0.974704764372438,1.34915973850393
249,249,4,Cichlids,astral,40,0.9,0,INT,REF,0.232505,0.9575,0.113653074206533,0.507944736363102,0.523259018078045,0.88684405321774,1.0776307345283
250,250,3,Cichlids,astral,40,0,0,INT,REF,0.229259,0.999583333333333,0.00201940936523459,0.384390611301807,0.786302740679441,0.680920511448915,1.31239018588223
251,251,10,Cichlids,astral,40,0,0,INT,REF,0.224374,0.988541666666667,0.0580164900745243,0.551875091940451,0.704278354061801,0.919791819900752,1.25299321626256
252,252,3,Cichlids,astral,40,0.25,4,EXT,REF,0.277487,0.995208333333333,0.0116672998814988,0.502453441915933,0.837214428924872,0.788000753168704,1.34633131137919
253,253,8,Cichlids,astral,40,0.25,4,EXT,REF,0.277349,0.992708333333333,0.0298748868658649,0.51343603081027,0.639224530192639,0.930774408795089,1.1879393923934
254,254,1,Cichlids,astral,40,0.25,5,EXT,REF,0.264785,0.96,0.163979760038023,0.480488264127258,0.562856997824492,0.859387580981896,1.11157186002525
255,255,2,Cichlids,astral,40,0.25,4,EXT,REF,0.271124,0.959375,0.108204028123391,0.571094622505541,0.625082394568908,0.889589700441324,1.19076781951815
256,256,6,Cichlids,astral,40,0,4,EXT,REF,0.278644,0.977291666666667,0.0772048830815202,0.590314153070632,0.718420489685532,0.936265703242258,1.25582164338731
257,257,1,Cichlids,astral,40,0.25,4,EXT,REF,0.264785,0.972916666666667,0.0968209211903184,0.469505675232921,0.551543289325507,0.80447463651021,1.09460129727678
258,258,6,Cichlids,astral,40,0.25,4,EXT,REF,0.278644,0.960625,0.101445011831691,0.549129444716867,0.707106781186547,0.917046172677167,1.25582164338731
259,259,1,Cichlids,astral,40,0,5,EXT,REF,0.264785,0.9775,0.0895734573147601,0.466760028009337,0.551543289325507,0.790746400392288,1.09460129727678
260,260,5,Cichlids,astral,40,0,4,EXT,REF,0.272258,0.950208333333333,0.118366354897121,0.711122630908342,0.862670273047588,1.08453065331581,1.3717871555019
261,261,2,Cichlids,astral,40,0,4,EXT,REF,0.271124,0.950625,0.13097679264956,0.472251322456505,0.65336666581637,0.763289928156445,1.20773838226662
262,262,5,Cichlids,astral,40,0.25,4,EXT,REF,0.272258,0.934583333333333,0.201346090667165,0.878607111546987,0.964493649538451,1.26299772284879,1.46229682349378
263,263,9,Cichlids,astral,40,0,0,INT,REF,0.220617,0.970833333333333,0.103014837463293,0.455777439114999,0.610940258945177,0.867624522652649,1.16531197539543
264,264,6,Cichlids,astral,40,0.9,0,INT,REF,0.241146,0.876041666666667,0.181409840256376,0.480488264127258,0.735391052434009,0.831931108746053,1.31239018588223
265,265,4,Cichlids,astral,40,0,4,EXT,REF,0.281971,0.983125,0.0734312893480644,0.51343603081027,0.596798123321446,0.870370169876234,1.1511698397717
266,266,1,Cichlids,astral,40,0,4,EXT,REF,0.264785,0.979166666666667,0.0898896092102509,0.47499696968009,0.543058007951268,0.809965930957378,1.09177287015203
267,267,4,Cichlids,astral,40,0.25,4,EXT,REF,0.281971,0.986875,0.0478986629760541,0.524418619704608,0.596798123321446,0.875861464323402,1.1511698397717
