,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,snps,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
223,100,4,Lates,astral,40,0,10,EXT,REF,0.554472,19440,0.882083333333333,0.212952480298418,0.67817486422533,0.851356564548603,0.969213469925269,1.33784603000495
224,304,4,Lates,astral,40,0,10,INT,REF,0.0408547,5821,0.8175,0.236242752900216,0.77976381149795,0.823072293301141,1.1037501838809,1.33218917575546
225,823,4,Lates,astral,40,0.25,0,EXT,REF,0.554472,177119,0.938541666666667,0.127128509003364,0.708376983684758,0.766503750806217,1.06531112275072,1.28693434175952
226,232,4,Lates,astral,40,0.25,0,INT,REF,0.0408547,43864,0.856875,0.205282952106433,0.628753214200812,0.673165655689593,0.958230881030932,1.22753737213985
227,822,4,Lates,astral,40,0.25,1,EXT,REF,0.554472,177119,0.936875,0.131637093815099,0.708376983684758,0.766503750806217,1.06531112275072,1.28693434175952
228,240,4,Lates,astral,40,0.25,1,INT,REF,0.0408547,43864,0.855833333333333,0.198888756818108,0.656209686436656,0.701449926937055,0.980196058819607,1.25016478913782
229,571,4,Lates,astral,40,0.25,2,EXT,REF,0.554472,177119,0.937083333333333,0.131131870176119,0.708376983684758,0.766503750806217,1.06531112275072,1.28693434175952
230,5,4,Lates,astral,40,0.25,2,INT,REF,0.0408547,43864,0.847291666666667,0.196520147668671,0.656209686436656,0.701449926937055,0.980196058819607,1.25016478913782
231,532,4,Lates,astral,40,0.25,3,EXT,REF,0.554472,35714,0.916458333333333,0.173186525731754,0.749561692038523,0.828729147550634,1.05707418107997,1.33218917575546
232,51,4,Lates,astral,40,0.25,3,INT,REF,0.0408547,9431,0.83,0.203417608392822,0.757798633709276,0.817415439051649,1.09276759498656,1.32087546725647
233,131,4,Lates,astral,40,0.25,4,EXT,REF,0.554472,30721,0.900416666666667,0.201388354935299,0.777018164274366,0.857013418798096,1.06805676997431,1.34350288425444
234,337,4,Lates,astral,40,0.25,4,INT,REF,0.0408547,8563,0.815625,0.21961190381642,0.746816044814939,0.806101730552664,1.08178500609223,1.30956175875749
235,743,4,Lates,astral,40,0.25,5,EXT,REF,0.554472,27932,0.905208333333333,0.192839803246923,0.774272517050782,0.854184991673349,1.08178500609223,1.34067445712969
236,314,4,Lates,astral,40,0.25,5,INT,REF,0.0408547,7954,0.798541666666667,0.257747935446533,0.793492047615872,0.854184991673349,1.11198712555165,1.34067445712969
237,102,4,Lates,astral,40,0.25,10,EXT,REF,0.554472,19316,0.892083333333333,0.208316027650026,0.790746400392288,0.851356564548603,1.10924147832807,1.33784603000495
238,302,4,Lates,astral,40,0.25,10,INT,REF,0.0408547,5755,0.821666666666667,0.232674856081361,0.809965930957378,0.857013418798096,1.13395230334033,1.34350288425444
239,598,4,Lates,astral,40,0.5,0,EXT,REF,0.554472,130566,0.922291666666667,0.136759449995679,0.67817486422533,0.777817459305202,0.980196058819607,1.30956175875749
240,810,4,Lates,astral,40,0.5,0,INT,REF,0.0408547,31477,0.827083333333333,0.228361027465827,0.708376983684758,0.820243866176395,0.960976528254517,1.3350176028802
241,622,4,Lates,astral,40,0.5,1,EXT,REF,0.554472,130566,0.921041666666667,0.137504190780752,0.689157453119668,0.789131167804187,0.985687353266775,1.31521861300698
242,121,4,Lates,astral,40,0.5,1,INT,REF,0.0408547,31477,0.815833333333333,0.237171572094821,0.645227097542318,0.766503750806217,0.914300525453583,1.29259119600901
243,662,4,Lates,astral,40,0.5,2,EXT,REF,0.554472,130566,0.92125,0.139796584745061,0.67817486422533,0.777817459305202,0.980196058819607,1.30956175875749
244,501,4,Lates,astral,40,0.5,2,INT,REF,0.0408547,31477,0.804166666666667,0.238138466187246,0.724850867026264,0.766503750806217,1.02138076717337,1.29259119600901
245,619,4,Lates,astral,40,0.5,3,EXT,REF,0.554472,28291,0.902083333333333,0.18853249997308,0.406355789090481,0.834386001800126,0.691903100343252,1.33218917575546
246,414,4,Lates,astral,40,0.5,3,INT,REF,0.0408547,7087,0.796875,0.224964831766912,0.76054428093286,0.840042856049618,1.07903935886864,1.33784603000495
247,212,4,Lates,astral,40,0.5,4,EXT,REF,0.554472,24616,0.890833333333333,0.189790851665423,0.395373200196144,0.885297690045557,0.636990155871565,1.36047344700292
248,438,4,Lates,astral,40,0.5,4,INT,REF,0.0408547,6507,0.820833333333333,0.196953751276395,0.777018164274366,0.837214428924872,1.10649583110449,1.3350176028802
249,755,4,Lates,astral,40,0.5,5,EXT,REF,0.554472,22906,0.892291666666667,0.179090368052216,0.409101436314066,0.882469262920811,0.656209686436656,1.35764501987817
250,402,4,Lates,astral,40,0.5,5,INT,REF,0.0408547,6161,0.804166666666667,0.208263676298216,0.782509458721535,0.845699710299111,1.10649583110449,1.34350288425444
251,183,4,Lates,astral,40,0.5,10,EXT,REF,0.554472,16889,0.906875,0.14398812377149,0.826439814298884,0.899439825669288,1.13395230334033,1.38027243687614
252,373,4,Lates,astral,40,0.5,10,INT,REF,0.0408547,4794,0.812916666666667,0.212752561635035,0.829185461522469,0.876812408671319,1.14768053945825,1.35764501987817
253,656,4,Lates,astral,40,0.75,0,EXT,REF,0.554472,89533,0.883541666666667,0.184442686517869,0.367916727960301,0.820243866176395,0.669937922554577,1.32936074863071
254,798,4,Lates,astral,40,0.75,0,INT,REF,0.0408547,21274,0.84,0.207118015489782,0.694648747566836,0.741047906683502,1.00216123660828,1.27279220613579
255,665,4,Lates,astral,40,0.75,1,EXT,REF,0.554472,89533,0.874791666666667,0.198933214317934,0.367916727960301,0.820243866176395,0.669937922554577,1.32936074863071
256,165,4,Lates,astral,40,0.75,1,INT,REF,0.0408547,21274,0.857083333333333,0.196857852737444,0.67817486422533,0.724077343935025,0.991178647713944,1.2614784976368
257,707,4,Lates,astral,40,0.75,2,EXT,REF,0.554472,89533,0.881666666666667,0.189807666743496,0.367916727960301,0.820243866176395,0.669937922554577,1.32936074863071
258,541,4,Lates,astral,40,0.75,2,INT,REF,0.0408547,21274,0.847083333333333,0.206459087012243,0.694648747566836,0.741047906683502,1.00216123660828,1.27279220613579
259,608,4,Lates,astral,40,0.75,3,EXT,REF,0.554472,20230,0.84,0.213870113695006,0.815457225404547,0.888126117170304,1.09551324221015,1.38027243687614
260,458,4,Lates,astral,40,0.75,3,INT,REF,0.0408547,4821,0.788125,0.214938449873545,0.752307339262107,0.837214428924872,1.05981982830355,1.32936074863071
261,208,4,Lates,astral,40,0.75,4,EXT,REF,0.554472,17662,0.881875,0.172708785150279,0.834676755969637,0.885297690045557,1.0872763005394,1.37744400975139
262,436,4,Lates,astral,40,0.75,4,INT,REF,0.0408547,4438,0.764375,0.226677259087086,0.77976381149795,0.865498700172334,1.08178500609223,1.35198816562868
263,754,4,Lates,astral,40,0.75,5,EXT,REF,0.554472,16562,0.865208333333333,0.204054535715576,0.812711578180963,0.888126117170304,1.11473277277524,1.36895872837716
264,398,4,Lates,astral,40,0.75,5,INT,REF,0.0408547,4236,0.7825,0.222696243841868,0.788000753168704,0.865498700172334,1.09002194776298,1.35764501987817
