,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
297,297,7,Lates,astral,40,0.25,4,INT,REF,0.0393079,0.792916666666667,0.236147793006507,1.03236335606771,0.924895669792004,1.52108856186572,1.42269884374733
298,298,10,Lates,astral,40,0.25,5,INT,REF,0.0378395,0.844166666666667,0.200518830583164,0.8236941670753,0.882469262920811,1.14218924501108,1.36330187412766
299,299,3,Lates,astral,40,0.25,5,INT,REF,0.0410177,0.785625,0.229039681129526,0.598551094741385,1.09177287015203,0.900572289335661,1.54997806436091
300,300,5,Lates,astral,40,0,5,INT,REF,0.0398327,0.750833333333333,0.244173232308307,0.960976528254517,0.851356564548603,1.44421043960536,1.34350288425444
301,301,6,Lates,astral,40,0,5,INT,REF,0.0389125,0.771875,0.218726062520066,0.373408022407469,0.825900720425887,0.626007566977228,1.32936074863071
302,302,4,Lates,astral,40,0.25,10,INT,REF,0.0408547,0.821666666666667,0.232674856081361,0.809965930957378,0.857013418798096,1.13395230334033,1.34350288425444
303,303,9,Lates,astral,40,0,4,INT,REF,0.0392779,0.785,0.245070549981194,0.897826642112077,1.01823376490863,1.24926948673087,1.49340952186599
304,304,4,Lates,astral,40,0,10,INT,REF,0.0408547,0.8175,0.236242752900216,0.77976381149795,0.823072293301141,1.1037501838809,1.33218917575546
305,305,10,Lates,astral,40,0,5,INT,REF,0.0378395,0.820208333333333,0.210263154098932,0.746816044814939,0.862670273047588,1.07629371164506,1.34915973850393
306,306,1,Lates,astral,40,0.25,5,INT,REF,0.0397409,0.725833333333333,0.245181941417314,0.299275547370692,1.06348859890457,0.546383797493282,1.54432121011142
307,307,9,Lates,astral,40,0.25,3,INT,REF,0.0392779,0.790208333333333,0.251408708386329,0.337714608500873,1.07480230740355,0.55736638638762,1.52735064736294
308,308,8,Lates,astral,40,0,5,INT,REF,0.0382194,0.810208333333333,0.208484803092617,0.444794850220662,0.820243866176395,0.730342161473433,1.31239018588223
309,309,1,Lates,astral,40,0.25,3,INT,REF,0.0397409,0.699583333333333,0.273596677326264,0.870370169876234,1.01823376490863,1.29319984230822,1.49906637611548
310,310,2,Lates,astral,40,0.25,4,INT,REF,0.0360989,0.799375,0.222494621020327,0.88684405321774,0.939037805415735,1.17788265891768,1.42552727087208
311,311,3,Lates,astral,40,0,5,INT,REF,0.0410177,0.807708333333333,0.236627362883603,0.236125661228253,1.0776307345283,0.422829672431987,1.53017907448769
312,312,2,Lates,astral,40,0.25,5,INT,REF,0.0360989,0.795625,0.241624874107022,0.930774408795089,0.970150503787943,1.25476078117804,1.4453262607453
313,313,8,Lates,astral,40,0.25,4,INT,REF,0.0382194,0.830208333333333,0.181688177853242,0.395373200196144,0.885297690045557,0.65895533366024,1.36613030125241
314,314,4,Lates,astral,40,0.25,5,INT,REF,0.0408547,0.798541666666667,0.257747935446533,0.793492047615872,0.854184991673349,1.11198712555165,1.34067445712969
