,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
9361,1,10000000,raxml,40,0.25,0.01,EXT,NOREF,0_0_0,0.213791,194745,0.249861434004095,-24.6741754238588,797,1118,1.00000050002909e-06,7.77049238776671e-05,0.000129760976592804,32,-24.6741754238588,797,1215,NA,NA,443295635.412302,-20.6465968632244,394,295
9362,1,10000000,raxml,40,0.25,0.01,EXT,REF,0_0_0,0.213791,194745,0.249861434004095,-22.7897197195138,748,1220,1.00000050002909e-06,0.000105501758540338,0.000176739163535183,28,-22.6194809975814,729,1100,NA,NA,653295635.418223,-25.2613182409695,246,326
9363,1,10000000,raxml,40,0.25,0.01,EXT,NOREF,0_0_0,0.213791,194745,0.249861434004095,-24.6741754238588,797,1215,1.00000050002909e-06,7.77049238776671e-05,0.000129760976592804,32,-24.6741754238588,797,1215,92.4948453608247,23.0213323677465,443295635.412302,-20.6465968632244,394,394
9364,1,10000000,raxml,40,0.25,0.01,EXT,REF,0_0_0,0.213791,194745,0.249861434004095,-22.7897197195138,748,1220,1.00000050002909e-06,0.000105501758540338,0.000176739163535183,28,-22.6194809975814,729,1197,93.8775510204082,19.3935185825789,653295635.418223,-25.2613182409695,246,326
9365,1,10000000,raxml,40,0.25,0.02,EXT,NOREF,0_0_0,0.213791,127742,0.163895346748575,-24.8347644880251,731,1189,1.00000050002909e-06,8.69286016926887e-05,0.000180194532249858,44,-24.8347644880251,731,1189,NA,NA,443295635.416503,-20.8071859273907,229,328
9366,1,10000000,raxml,40,0.25,0.02,EXT,REF,0_0_0,0.213791,127742,0.163895346748575,-27.5944206901818,512,1039,1.00000050002909e-06,0.000104883875920776,0.000217828038957426,46,-27.2388233246892,584,932,NA,NA,653295635.418065,-30.0660192116376,10,93
9367,1,10000000,raxml,40,0.25,0.02,EXT,NOREF,0_0_0,0.213791,127742,0.163895346748575,-24.8347644880251,731,1189,1.00000050002909e-06,8.69286016926887e-05,0.000180194532249858,44,-24.8347644880251,731,1189,82.0824742268041,31.0368296353612,443295635.416503,-20.8071859273907,328,328
9368,1,10000000,raxml,40,0.25,0.02,EXT,REF,0_0_0,0.213791,127742,0.163895346748575,-27.5944206901818,590,952,1.00000050002909e-06,0.000104883875920776,0.000217828038957426,46,-27.2388233246892,584,1018,81.6224489795918,32.2475973071638,653295635.418065,-30.0660192116376,10,181
9369,1,10000000,raxml,40,0.25,0.03,EXT,NOREF,0_0_0,0.213791,77170,0.0990105361477627,-24.8612209171963,947,1365,1.00000050002909e-06,9.33104373097076e-05,0.00023076392752533,90,-24.8612209171963,848,1365,NA,NA,443295635.415694,-20.8336423565619,544,445
9370,1,10000000,raxml,40,0.25,0.03,EXT,REF,0_0_0,0.213791,77170,0.0990105361477627,-29.4670606346162,581,1103,1.00000050002909e-06,0.000107481533096975,0.000266028945125705,80,-29.0976346784222,566,1086,NA,NA,653295635.422783,-31.938659156072,173,163
