,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
1843,1,10000000,raxml,0,1,0.05,INT,NOREF,11_0_0,154,NA,-26.5388992863621,611,1004,1.00000050002909e-06,0.000166943726774106,0.000595449037140167,130,-42.8122369698413,541,973,NA,0.239258554720061,448472052.045472,-25.2730701236057,-3,69
1844,1,10000000,raxml,0,1,0.05,INT,REF,11_0_0,154,NA,-26.7174228396534,509,991,1.00000050002909e-06,0.000165339878067439,0.000593018607998024,116,-43.3508424702989,482,918,NA,0.239258554720061,448472052.042539,-25.451593676897,-62,10
1845,1,10000000,raxml,0,1,0.1,INT,NOREF,11_0_0,59,NA,-27.2922018085829,559,985,1.00000050002909e-06,0.000264694878731427,0.00130697080308281,162,-27.6100251254578,555,977,NA,0.239258554720061,448472052.062114,-26.0263726458265,77,83
1846,1,10000000,raxml,0,1,0.1,INT,REF,11_0_0,59,NA,-27.4274237729414,521,1055,1.00000050002909e-06,0.000262039602459907,0.00130060200756579,150,-96.6394198983207,517,959,NA,0.239258554720061,448472052.041228,-26.1615946101849,45,45
1847,1,10000000,raxml,0,1,0.15,INT,NOREF,11_0_0,52,NA,-27.9019172536901,834,1248,1.00000050002909e-06,0.000150662820044456,0.000822300678196808,174,-28.2212659064542,833,1243,NA,0.239258554720061,448472052.043108,-26.6360880909337,263,361
1848,1,10000000,raxml,0,1,0.15,INT,REF,11_0_0,52,NA,-28.0587233952033,1339,1615,1.00000050002909e-06,0.000149405951064672,0.000819698461988372,166,-28.3778990527457,1240,1612,NA,0.239258554720061,448472052.030592,-26.7928942324469,768,768
1849,1,10000000,raxml,0,1,0,INT,NOREF,11_0_0,1689,NA,-14.9303686378403,469,1006,0.00144471967983189,6.88372362735974e-05,0.000114754592380264,28,-4.19330891071734,465,911,NA,0.239258554720061,448472052.009221,-13.6645394750839,-8,-7
1850,1,10000000,raxml,0,1,0,INT,REF,11_0_0,1720,NA,-14.9993540017951,560,1012,0.00140307991379824,6.74080325933686e-05,0.000111669513794687,20,2.1111002860409,466,916,NA,0.239258554720061,448472052.008674,-13.7335248390387,-6,-6
1851,1,10000000,raxml,20,0.25,0.01,INT,NOREF,11_0_0,712,NA,-25.8689716522672,439,948,3.4265543292398e-05,0.000124564809200175,0.000219104162878144,22,28.0778929543494,418,870,NA,0.239258554720061,448472052.027187,-24.6031424895108,-55,-54
1852,1,10000000,raxml,20,0.25,0.01,INT,REF,11_0_0,712,NA,-26.1313866120249,536,970,3.43810870928759e-05,0.000123740005468308,0.000219146124677793,20,1.28803699448169,437,891,NA,0.239258554720061,448472052.027924,-24.8655574492684,-35,-35
1853,1,10000000,raxml,20,0.25,0.05,INT,NOREF,11_0_0,158,NA,-26.1772294142633,518,1023,1.00000050002909e-06,0.000166681907519812,0.000595212274218017,120,37.2319816046915,497,923,NA,0.239258554720061,448472052.046266,-24.9114002515069,24,25
1854,1,10000000,raxml,20,0.25,0.05,INT,REF,11_0_0,158,NA,-26.3652937748884,562,1046,1.00000050002909e-06,0.000165110599325907,0.000592882009824895,106,35.955254617808,541,967,NA,0.239258554720061,448472052.036023,-25.099464612132,69,69
1855,1,10000000,raxml,20,0.25,0.1,INT,NOREF,11_0_0,60,NA,-27.0787332079131,576,1055,1.00000050002909e-06,0.000263400366867618,0.00131641639529586,156,-27.3946384772066,551,981,NA,0.239258554720061,448472052.06531,-25.8129040451566,78,79
1856,1,10000000,raxml,20,0.25,0.1,INT,REF,11_0_0,60,NA,-27.2277050848245,1101,1445,1.00000050002909e-06,0.000261006235229315,0.00131283460936605,160,-27.5412522404316,1002,1420,NA,0.239258554720061,448472052.065352,-25.9618759220681,452,530
1857,1,10000000,raxml,20,0.25,0.15,INT,NOREF,11_0_0,53,NA,-27.7961329600208,1148,1522,1.00000050002909e-06,0.000151279750013897,0.000837256006488704,176,-28.1163061272903,1125,1495,NA,0.239258554720061,448472052.043252,-26.5303037972644,577,653
1858,1,10000000,raxml,20,0.25,0.15,INT,REF,11_0_0,53,NA,-27.9478728974113,794,1241,1.00000050002909e-06,0.000150072977648918,0.00083489964001886,166,-28.2650957108383,718,1140,NA,0.239258554720061,448472052.043292,-26.6820437346548,169,246
1859,1,10000000,raxml,20,0.25,0,INT,NOREF,11_0_0,1701,NA,-14.9309765351736,455,980,0.00144049049674956,6.87399221913019e-05,0.000114533244951901,24,4.37632713675565,434,880,NA,0.239258554720061,448472052.010522,-13.6651473724171,-116,-38
1860,1,10000000,raxml,20,0.25,0,INT,REF,11_0_0,1732,NA,-15.0014555623198,495,945,0.00139940049753382,6.73247299773677e-05,0.000111466676137964,24,4.244138986181,474,920,NA,0.239258554720061,448472052.008911,-13.7356263995634,-76,2
1861,1,10000000,raxml,20,0.5,0.01,INT,NOREF,11_0_0,710,NA,-25.8774180920213,447,952,3.43391995299574e-05,0.000124485927684346,0.000219348240018524,26,28.0700884996963,426,874,NA,0.239258554720061,448472052.027769,-24.6115889292649,-47,-46
1862,1,10000000,raxml,20,0.5,0.01,INT,REF,11_0_0,710,NA,-26.136141052354,505,905,3.44384290760391e-05,0.000123603373648775,0.000219256815401428,14,26.9839173542683,428,880,NA,0.239258554720061,448472052.025079,-24.8703118895976,-122,-44
1863,1,10000000,raxml,20,0.5,0.05,INT,NOREF,11_0_0,157,NA,-26.1780701955409,578,1049,1.00000050002909e-06,0.000165819952132058,0.000596084222037614,130,36.8231983445184,557,971,NA,0.239258554720061,448472052.046092,-24.9122410327845,84,85
1864,1,10000000,raxml,20,0.5,0.05,INT,REF,11_0_0,157,NA,-26.3647914081113,575,955,1.00000050002909e-06,0.000164316966490674,0.000593851677467149,120,35.6569390314417,498,930,NA,0.239258554720061,448472052.035853,-25.0989622453549,4,26
1865,1,10000000,raxml,20,0.5,0.1,INT,NOREF,11_0_0,60,NA,-27.0787332079131,649,1010,1.00000050002909e-06,0.000263400366867618,0.00131641639529586,156,-27.3946384772066,551,981,NA,0.239258554720061,448472052.06531,-25.8129040451566,52,79
1866,1,10000000,raxml,20,0.5,0.1,INT,REF,11_0_0,60,NA,-27.2277050848245,1023,1445,1.00000050002909e-06,0.000261006235229315,0.00131283460936605,160,-27.5412522404316,1002,1420,NA,0.239258554720061,448472052.065352,-25.9618759220681,508,530
